,501 N 1st St,TX,Copperas Cove,76522
Ta Family Trust,926 SW 4th St,OK,Oklahoma City,73160
"7-Eleven, Inc.",600 SW 4th St,OK,Oklahoma City,73160
7-Eleven,835 W 9th St,TX,Dallas,752084904
Jaytex Properties Ltd,9535 NE 10th St,OK,Oklahoma City,73130
E & H Investments Llc,2845 NW 10th St,OK,Oklahoma City,73107
"Brooklyn Company, The",8935 NW 10th St,OK,Oklahoma City,73127
"7-Eleven, Inc.",1201 12th Ave NE,OK,Norman,73071
"7-Eleven, Inc.",3601 14th St,TX,Plano,750747129
"Brooklyn Co, The",1000 SE 15th St,OK,Oklahoma City,73129
Turney B M,9925 SE 15th St,OK,Midwest City,731305504
SEJ Asset Management & Investment Company,2101 W 15th St,TX,Plano,750757433
"Dr. John Aivaz, DDS",2900 W 15th St,TX,Plano,75075
Speedy Stop Food Stores Ltd,6313 N 23rd St,TX,McAllen,785043944
Naifeh Frank & Robert,8001 NW 23rd St,OK,Bethany,73008
SEJ Asset Management & Inv Co,100 NE 28th St,TX,Fort Worth,761647203
Thompson John P,1245 SW 29th St,OK,Oklahoma City,73109
"7-Eleven, Inc.",4110 S 31st St,TX,Temple,765023326
Bill Stubbs & Co,4840 NW 39th St,OK,Oklahoma City,73122
Barbre John E,142 SE 44th St,OK,Oklahoma City,731292804
"7-Eleven, Inc.",1301 SW 44th St,OK,Oklahoma City,73119
"7-Eleven, Inc.",3645 NW 50th St,OK,Oklahoma City,73112
,2303 S 57th St,TX,Temple,765046957
"7-Eleven, Inc.",1516-1520 SW 59th St,OK,Oklahoma City,731197214
Bloomfield Thelma L,921 SE 66th St,OK,Oklahoma City,73149
"Brooklyn Co, The",1036-1040 SW 74th St,OK,Oklahoma City,73139
"7-Eleven, Inc.",2120 E Abram St,TX,Arlington,760101341
,2129 Abrams Rd,TX,Dallas,752143919
"7-Eleven, Inc.",4200 Abrams Rd,TX,Dallas,752142341
Lontos George,5804 Abrams Rd,TX,Dallas,752141603
New Hampshire Retirement System,8302 Abrams Rd,TX,Dallas,752437604
"7-Eleven, Inc.",4315 W Adams Ave,TX,Temple,765043400
"7-Eleven, Inc.",8882 W Adams Ave,TX,Temple,765025724
"7-Eleven, Inc.",1821 S Air Depot Blvd,OK,Oklahoma City,73110
Duvar Family Trust,5101 Airport Fwy,TX,Haltom City,761175902
"Third Generation, L.P.",6001 Airport Fwy,TX,Haltom City,761175704
,741 W Bailey Boswell Rd,TX,Saginaw,761791011
SEJ Asset Management & Inv Co,7401 N Beach St,TX,Fort Worth,761371504
Ust Bui Ngoc D & Tran Ngocanh T Tr,2223 S Beckley Ave,TX,Dallas,752242213
"The Krausz Companies, Inc.",428 Bedford Rd,TX,Bedford,760228010
"1221 Interstate South GP, LC",6111 Bee Caves Rd,TX,Austin,78746
La Retraite Realty Corp,801 W Belknap St,TX,Fort Worth,76102
Levi Chitrik,815 W Belknap St,TX,Fort Worth,761021963
Southland Corporation,757 E Belt Line Rd,TX,DeSoto,751155105
"7-Eleven, Inc.",3001 N Belt Line Rd,TX,Irving,750626878
,8375 N Belt Line Rd,TX,Irving,75063
7eleven Inc,730 W Belt Line Rd,TX,Desoto,751154956
National Retail Properties LP,201 Ben White Blvd,TX,Austin,78745
National Retail Properties LP,7715 E Ben White Blvd,TX,Austin,787441773
Royal Mangement Corporation,8500 Benbrook Blvd,TX,Benbrook,76126
Retail Property Partners Ltd,1600 N Bicentennial Blvd,TX,McAllen,785013142
,298 W Bitters Rd,TX,San Antonio,78216
Mdc Coast 6 Llc,5700 Boat Club Rd,TX,Fort Worth,761797754
"7-Eleven, Inc.",1758 Boca Chica Blvd,TX,Brownsville,785208141
Rhodes Family Investments Llc,1500 S Boulevard St,OK,Edmond,73013
National Retail Properties LP,2616 W Braker Ln,TX,Austin,787584451
"7-Eleven, Inc.",1665 E Broad St,TX,Mansfield,760631842
SEJ Asset Management & Investment Company,3801 E Broad St,TX,Mansfield,76063
"7-Eleven, Inc.",6122 Broadway Blvd,TX,Garland,750435826
